p_id,presTime,stim1,response,correct
4,10.0,pombe,pombe,0.0
4,10.0,sumu,sumu,0.0
4,400.0,nyanya,nyanya,0.0
4,10.0,mbwa,mbwa,0.0
4,400.0,buu,buu,0.0
4,400.0,lulu,soul,0.0
4,10.0,goti,maggot,0.0
4,400.0,malkia,maggot,0.0
4,10.0,wasaa,wasaa,0.0
4,10.0,elimu,soul,0.0
4,400.0,zulia,bat,0.0
4,10.0,maiti,corpse,1.0
4,400.0,dafina,beautiful,0.0
4,400.0,roho,star,0.0
4,400.0,ndoo,ndoo,0.0
4,400.0,joko,joko,0.0
4,10.0,rembo,rembo,0.0
4,10.0,pipa,pipa,0.0
4,10.0,wingu,wingu,0.0
4,10.0,godoro,mother,0.0
4,400.0,theluji,soul,0.0
4,400.0,fagio,fagio,0.0
4,10.0,iktisadi,niku,0.0
4,400.0,kaa,snake,0.0
4,10.0,tabibu,song,0.0
4,10.0,usingizi,maggot,0.0
4,400.0,yai,mother,0.0
4,400.0,tumbili,tumbili,0.0
3,600.0,kaa,knee,0.0
3,600.0,malkia,milk,0.0
3,600.0,theluji,boot,0.0
3,10.0,wingu,kne,0.0
3,600.0,roho,bag,0.0
3,600.0,maiti,bed,0.0
3,10.0,wasaa,package,0.0
3,10.0,sumu,pack,0.0
3,10.0,joko,small,0.0
3,600.0,godoro,bowl,0.0
3,600.0,lulu,pierce,0.0
3,10.0,zulia,stop,0.0
3,10.0,buu,knee,0.0
3,10.0,rembo,drop,0.0
3,10.0,usingizi,group,0.0
3,600.0,pombe,back,0.0
3,600.0,elimu,group,0.0
3,10.0,tabibu,foward,0.0
3,600.0,ndoo,stir,0.0
3,600.0,tumbili,right,0.0
3,10.0,dafina,group,0.0
3,600.0,goti,knee,1.0
3,600.0,pipa,worth,0.0
3,10.0,nyanya,not,0.0
3,10.0,iktisadi,step,0.0
3,10.0,fagio,pound,0.0
3,600.0,mbwa,dirt,0.0
3,10.0,yai,fur,0.0
0,10.0,iktisadi,economy,1.0
0,10.0,theluji,snow,1.0
0,10.0,kaa,crab,1.0
0,10.0,buu,maggot,1.0
0,600.0,malkia,treasure,0.0
0,10.0,yai,egg,1.0
0,10.0,nyanya,butter,0.0
0,600.0,wasaa,leisure,1.0
0,600.0,maiti,book,0.0
0,600.0,sumu,milk,0.0
0,10.0,fagio,broom,1.0
0,600.0,goti,treasure,0.0
0,10.0,pipa,play,0.0
0,10.0,tumbili,tool,0.0
0,10.0,godoro,mountain,0.0
0,600.0,dafina,tree,0.0
0,10.0,zulia,woman,0.0
0,600.0,roho,red,0.0
0,600.0,pombe,beer,1.0
0,600.0,wingu,cloud,1.0
0,600.0,usingizi,economy,0.0
0,600.0,tabibu,building,0.0
0,600.0,lulu,pearl,1.0
0,600.0,mbwa,job,0.0
0,600.0,rembo,gun,0.0
0,10.0,elimu,soap,0.0
0,10.0,joko,jackett,0.0
0,10.0,ndoo,butter,0.0
1,10.0,yai,egg,1.0
1,10.0,buu,barrel,0.0
1,10.0,kaa,key,0.0
1,600.0,ndoo,know,0.0
1,10.0,lulu,pearl,1.0
1,10.0,tabibu,chiropracter,0.0
1,600.0,theluji,snow,1.0
1,600.0,sumu,poison,1.0
1,600.0,goti,knee,1.0
1,10.0,godoro,bed,0.0
1,600.0,nyanya,tomato,1.0
1,600.0,pombe,pump,0.0
1,600.0,pipa,barrel,1.0
1,10.0,rembo,beautiful,0.0
1,10.0,maiti,church,0.0
1,10.0,zulia,carpet,1.0
1,600.0,elimu,science,1.0
1,10.0,usingizi,sleep,1.0
1,10.0,roho,spirit,0.0
1,10.0,wingu,cloud,1.0
1,600.0,wasaa,space,0.0
1,600.0,fagio,haze,0.0
1,10.0,malkia,queen,1.0
1,600.0,tumbili,monkey,1.0
1,10.0,mbwa,dog,1.0
1,600.0,iktisadi,economy,1.0
1,600.0,joko,closet,0.0
1,600.0,dafina,king,0.0
5,10.0,buu,dog,0.0
5,10.0,yai,egg,1.0
5,10.0,kaa,crab,1.0
5,600.0,pipa,barrel,1.0
5,10.0,lulu,pearl,1.0
5,10.0,mbwa,carpet,0.0
5,600.0,fagio,cheese,0.0
5,600.0,ndoo,noodles,0.0
5,600.0,dafina,water,0.0
5,10.0,tabibu,carpet,0.0
5,600.0,wasaa,water,0.0
5,10.0,roho,soul,1.0
5,600.0,elimu,red,0.0
5,10.0,zulia,carpet,1.0
5,10.0,rembo,color,0.0
5,600.0,pombe,dog,0.0
5,600.0,goti,knee,1.0
5,10.0,malkia,queen,1.0
5,600.0,sumu,food,0.0
5,10.0,maiti,friend,0.0
5,10.0,godoro,big,0.0
5,600.0,nyanya,tomato,1.0
5,10.0,usingizi,economu,0.0
5,600.0,iktisadi,economy,1.0
5,600.0,tumbili,tree,0.0
5,10.0,wingu,cloud,1.0
5,600.0,joko,kiln,1.0
5,600.0,theluji,tea,0.0
2,10.0,kaa,dog,0.0
2,600.0,yai,?,0.0
2,10.0,buu,?,0.0
2,600.0,goti,?,0.0
2,600.0,roho,soul,1.0
2,10.0,mbwa,dog,1.0
2,10.0,tabibu,doctor,1.0
2,600.0,pipa,carpet,0.0
2,10.0,nyanya,?,0.0
2,600.0,pombe,carpet,0.0
2,10.0,theluji,?,0.0
2,10.0,dafina,treasure,1.0
2,600.0,joko,?,0.0
2,600.0,elimu,?,0.0
2,10.0,godoro,mattress,1.0
2,10.0,tumbili,?,0.0
2,600.0,lulu,pearl,1.0
2,600.0,iktisadi,sleep,0.0
2,10.0,ndoo,?,0.0
2,10.0,sumu,?,0.0
2,600.0,usingizi,?,0.0
2,600.0,zulia,?,0.0
2,10.0,maiti,?,0.0
2,600.0,rembo,?,0.0
2,10.0,wasaa,?,0.0
2,600.0,malkia,queen,1.0
2,10.0,wingu,cloud,1.0
2,600.0,fagio,poison,0.0
84,10.0,tumbili,storm,0.0
84,200.0,mbwa,sun,0.0
84,10.0,maiti,sock,0.0
84,200.0,malkia,ghost,0.0
84,10.0,dafina,dog,0.0
84,200.0,wasaa,peace,0.0
84,200.0,roho,red,0.0
84,10.0,joko,plane,0.0
84,200.0,godoro,bread,0.0
84,10.0,theluji,phone,0.0
84,10.0,zulia,garden,0.0
84,10.0,buu,cat,0.0
84,10.0,sumu,hug,0.0
84,200.0,wingu,smile,0.0
84,200.0,kaa,snake,0.0
84,10.0,fagio,girl,0.0
84,200.0,goti,pasta,0.0
84,200.0,elimu,door,0.0
84,200.0,tabibu,storm,0.0
84,200.0,nyanya,dance,0.0
84,200.0,iktisadi,travel,0.0
84,10.0,usingizi,goat,0.0
84,10.0,lulu,laugh,0.0
84,10.0,rembo,food,0.0
84,10.0,yai,yes,0.0
84,200.0,pipa,barrel,1.0
84,200.0,ndoo,bird,0.0
84,10.0,pombe,jar,0.0
12,10.0,tabibu,carpet,0.0
12,10.0,zulia,maggot,0.0
12,600.0,wasaa,carpet,0.0
12,10.0,kaa,crab,1.0
12,600.0,goti,knee,1.0
12,600.0,tumbili,economy,0.0
12,600.0,pombe,economy,0.0
12,600.0,fagio,basket,0.0
12,10.0,roho,soul,1.0
12,600.0,sumu,economy,0.0
12,600.0,joko,kiln,1.0
12,600.0,pipa,queen,0.0
12,10.0,rembo,basket,0.0
12,10.0,malkia,sleep,0.0
12,600.0,ndoo,sleep,0.0
12,10.0,yai,egg,1.0
12,600.0,dafina,treasure,1.0
12,600.0,iktisadi,queen,0.0
12,10.0,buu,maggot,1.0
12,10.0,usingizi,sleep,1.0
12,10.0,godoro,mattress,1.0
12,600.0,nyanya,carpet,0.0
12,10.0,lulu,mop,0.0
12,600.0,theluji,maggot,0.0
12,10.0,wingu,cloud,1.0
12,10.0,mbwa,dog,1.0
12,10.0,maiti,sleep,0.0
12,600.0,elimu,food,0.0
40,10.0,malkia,doctor,0.0
40,400.0,roho,skull,0.0
40,400.0,nyanya,banana,0.0
40,400.0,wasaa,tomato,0.0
40,10.0,maiti,beach,0.0
40,10.0,yai,yes,0.0
40,10.0,theluji,religion,0.0
40,10.0,usingizi,teacher,0.0
40,400.0,sumu,tree,0.0
40,400.0,godoro,goodbye,0.0
40,400.0,joko,king,0.0
40,400.0,wingu,plane,0.0
40,10.0,goti,free,0.0
40,10.0,lulu,song,0.0
40,10.0,fagio,cheese,0.0
40,10.0,pombe,run,0.0
40,10.0,mbwa,skip,0.0
40,400.0,rembo,learn,0.0
40,10.0,tumbili,walk,0.0
40,400.0,pipa,shoe,0.0
40,400.0,tabibu,bench,0.0
40,10.0,dafina,water,0.0
40,400.0,elimu,bird,0.0
40,10.0,ndoo,nod,0.0
40,400.0,iktisadi,economy,1.0
40,10.0,kaa,yes,0.0
40,400.0,zulia,flower,0.0
40,400.0,buu,no,0.0
16,10.0,joko,laugh,0.0
16,600.0,kaa,pants,0.0
16,600.0,godoro,tomatoe,0.0
16,10.0,tabibu,soccer,0.0
16,600.0,pombe,closet,0.0
16,600.0,elimu,cat,0.0
16,10.0,buu,table,0.0
16,10.0,sumu,guy,0.0
16,600.0,goti,goat,0.0
16,10.0,fagio,pretty,0.0
16,600.0,lulu,tank,0.0
16,10.0,wasaa,water,0.0
16,600.0,pipa,beans,0.0
16,600.0,maiti,mango,0.0
16,10.0,iktisadi,soda,0.0
16,10.0,usingizi,lazy,0.0
16,600.0,mbwa,brown,0.0
16,600.0,theluji,fox,0.0
16,10.0,dafina,jump,0.0
16,600.0,ndoo,dentist,0.0
16,10.0,rembo,over,0.0
16,10.0,yai,brown,0.0
16,10.0,nyanya,banana,0.0
16,10.0,wingu,coat,0.0
16,600.0,malkia,milk,0.0
16,10.0,zulia,tomatoe,0.0
16,600.0,tumbili,prince,0.0
16,600.0,roho,red,0.0
76,400.0,roho,play,0.0
76,10.0,joko,field,0.0
76,10.0,maiti,holiday,0.0
76,400.0,pombe,hair,0.0
76,10.0,dafina,water,0.0
76,10.0,godoro,pray,0.0
76,400.0,pipa,drink,0.0
76,10.0,tabibu,actor,0.0
76,400.0,wasaa,hello,0.0
76,10.0,fagio,sleep,0.0
76,400.0,kaa,eat,0.0
76,400.0,wingu,fly,0.0
76,10.0,iktisadi,economy,1.0
76,10.0,usingizi,prayer,0.0
76,400.0,tumbili,bucket,0.0
76,400.0,mbwa,study,0.0
76,10.0,malkia,actor,0.0
76,400.0,zulia,state,0.0
76,10.0,nyanya,eye,0.0
76,10.0,sumu,wrestler,0.0
76,400.0,ndoo,water,0.0
76,400.0,elimu,water,0.0
76,10.0,buu,fish,0.0
76,10.0,yai,hello,0.0
76,400.0,rembo,task,0.0
76,400.0,goti,play,0.0
76,400.0,theluji,run,0.0
76,10.0,lulu,clothes,0.0
114,200.0,pipa,barrel,1.0
114,10.0,maiti,corpse,1.0
114,10.0,yai,tea,0.0
114,200.0,malkia,queen,1.0
114,10.0,wasaa,corn,0.0
114,200.0,rembo,beer,0.0
114,200.0,kaa,corn,0.0
114,10.0,theluji,spiritual,0.0
114,10.0,tabibu,bucket,0.0
114,10.0,lulu,pipe,0.0
114,200.0,dafina,treasure,1.0
114,200.0,usingizi,economy,0.0
114,200.0,nyanya,tomato,1.0
114,200.0,godoro,mattress,1.0
114,200.0,ndoo,bucket,1.0
114,200.0,mbwa,dog,1.0
114,200.0,iktisadi,economy,1.0
114,10.0,tumbili,monkey,1.0
114,10.0,goti,knee,1.0
114,10.0,roho,spirit,0.0
114,10.0,elimu,lemon,0.0
114,10.0,joko,beer,0.0
114,200.0,sumu,poison,1.0
114,200.0,zulia,carpet,1.0
114,200.0,fagio,beer,0.0
114,10.0,buu,maggot,1.0
114,10.0,pombe,beer,1.0
114,10.0,wingu,cloud,1.0
121,400.0,fagio,curtin,0.0
121,10.0,maiti,carpet,0.0
121,10.0,kaa,queen,0.0
121,10.0,joko,bug,0.0
121,10.0,dafina,water,0.0
121,400.0,mbwa,water,0.0
121,400.0,ndoo,work,0.0
121,400.0,elimu,car,0.0
121,10.0,goti,dog,0.0
121,400.0,wingu,water,0.0
121,10.0,pombe,bucket,0.0
121,10.0,iktisadi,school,0.0
121,400.0,zulia,queen,0.0
121,10.0,yai,work,0.0
121,400.0,malkia,queen,1.0
121,10.0,theluji,tulip,0.0
121,400.0,sumu,summer,0.0
121,400.0,godoro,ground,0.0
121,10.0,tabibu,table,0.0
121,10.0,lulu,curtain,0.0
121,400.0,rembo,rainbow,0.0
121,10.0,roho,drink,0.0
121,10.0,nyanya,food,0.0
121,10.0,usingizi,sing,0.0
121,400.0,tumbili,hill\,0.0
121,400.0,pipa,pipe,0.0
121,400.0,buu,bus,0.0
121,400.0,wasaa,water,0.0
104,200.0,yai,dog,0.0
104,10.0,tumbili,carpet,0.0
104,10.0,pombe,treasure,0.0
104,10.0,roho,treasure,0.0
104,200.0,buu,food,0.0
104,10.0,joko,kiln,1.0
104,10.0,tabibu,food,0.0
104,200.0,wasaa,coin,0.0
104,10.0,theluji,thunder,0.0
104,10.0,goti,rice,0.0
104,10.0,kaa,crab,1.0
104,200.0,lulu,skirt,0.0
104,200.0,zulia,flower,0.0
104,200.0,fagio,broom,1.0
104,200.0,pipa,pipe,0.0
104,200.0,iktisadi,rice,0.0
104,10.0,wingu,rain,0.0
104,10.0,ndoo,cup,0.0
104,200.0,elimu,house,0.0
104,10.0,sumu,house,0.0
104,10.0,maiti,woman,0.0
104,200.0,usingizi,cat,0.0
104,200.0,godoro,plate,0.0
104,200.0,mbwa,dog,1.0
104,200.0,rembo,spoon,0.0
104,10.0,dafina,treasure,1.0
104,200.0,nyanya,shirt,0.0
104,10.0,malkia,fog,0.0
81,10.0,wingu,kiln,0.0
81,400.0,ndoo,bucket,1.0
81,10.0,pipa,pearl,0.0
81,10.0,godoro,bucket,0.0
81,400.0,malkia,pearl,0.0
81,400.0,pombe,alcohol,0.0
81,10.0,theluji,pearl,0.0
81,10.0,roho,spirit,0.0
81,400.0,usingizi,door,0.0
81,400.0,lulu,pearl,1.0
81,10.0,goti,goat,0.0
81,400.0,joko,kiln,1.0
81,400.0,tumbili,monkey,1.0
81,10.0,mbwa,dogs,0.0
81,400.0,rembo,memory,0.0
81,10.0,zulia,bucke,0.0
81,10.0,maiti,mate,0.0
81,10.0,sumu,money,0.0
81,400.0,buu,maggot,1.0
81,400.0,kaa,goat,0.0
81,10.0,dafina,flower,0.0
81,400.0,yai,egg,1.0
81,400.0,fagio,noodle,0.0
81,400.0,nyanya,tomato,1.0
81,10.0,wasaa,cracker,0.0
81,10.0,iktisadi,basket,0.0
81,10.0,tabibu,tablet,0.0
81,400.0,elimu,bird,0.0
83,600.0,rembo,boat,0.0
83,600.0,pombe,bed,0.0
83,600.0,wingu,cloud,1.0
83,10.0,elimu,education,0.0
83,600.0,maiti,death,0.0
83,600.0,roho,banana,0.0
83,10.0,godoro,mattress,1.0
83,10.0,buu,maggot,1.0
83,10.0,sumu,fly,0.0
83,10.0,zulia,bucket,0.0
83,10.0,iktisadi,ornament,0.0
83,10.0,yai,hello,0.0
83,10.0,tabibu,table,0.0
83,600.0,theluji,food,0.0
83,600.0,usingizi,sleep,1.0
83,600.0,mbwa,dog,1.0
83,10.0,dafina,water,0.0
83,600.0,goti,goat,0.0
83,600.0,wasaa,house,0.0
83,10.0,ndoo,snow,0.0
83,600.0,pipa,parent,0.0
83,10.0,fagio,plant,0.0
83,10.0,tumbili,cat,0.0
83,600.0,lulu,monkey,0.0
83,10.0,joko,truck,0.0
83,10.0,malkia,milk,0.0
83,600.0,nyanya,banana,0.0
83,600.0,kaa,cat,0.0
91,10.0,iktisadi,economy,1.0
91,10.0,wasaa,leisure,1.0
91,400.0,godoro,mattress,1.0
91,400.0,joko,kiln,1.0
91,400.0,goti,I don't know,0.0
91,400.0,theluji,snow,1.0
91,10.0,tabibu,doctor,1.0
91,400.0,ndoo,bucket,1.0
91,10.0,tumbili,monkey,1.0
91,10.0,fagio,barrel,0.0
91,10.0,yai,egg,1.0
91,10.0,usingizi,sleep,1.0
91,400.0,wingu,cloud,1.0
91,400.0,roho,soul,1.0
91,10.0,lulu,I don't know,0.0
91,400.0,kaa,crab,1.0
91,10.0,pipa,barrel,1.0
91,400.0,mbwa,dog,1.0
91,10.0,elimu,I don't know,0.0
91,400.0,nyanya,orange,0.0
91,10.0,malkia,queen,1.0
91,10.0,zulia,ocean,0.0
91,400.0,dafina,I don't know,0.0
91,10.0,buu,maggot,1.0
91,10.0,rembo,monkey,0.0
91,400.0,maiti,corpse,1.0
91,400.0,sumu,poison,1.0
91,400.0,pombe,I don't know,0.0
21,600.0,sumu,soup,0.0
21,600.0,wingu,cloud,1.0
21,10.0,dafina,fish,0.0
21,600.0,roho,soul,1.0
21,600.0,tabibu,pipe,0.0
21,600.0,godoro,hat,0.0
21,10.0,buu,dog,0.0
21,600.0,joko,fruit,0.0
21,600.0,wasaa,ghost,0.0
21,10.0,fagio,drink,0.0
21,600.0,maiti,mother,0.0
21,10.0,goti,goat,0.0
21,10.0,malkia,fence,0.0
21,10.0,zulia,flower,0.0
21,10.0,mbwa,hug,0.0
21,600.0,usingizi,mattress,0.0
21,600.0,elimu,bean,0.0
21,600.0,kaa,fish,0.0
21,10.0,yai,egg,1.0
21,10.0,iktisadi,sleep,0.0
21,10.0,ndoo,cup,0.0
21,10.0,rembo,memory,0.0
21,600.0,theluji,monkey,0.0
21,10.0,pipa,barrel,1.0
21,600.0,pombe,drink,0.0
21,10.0,nyanya,spider,0.0
21,600.0,tumbili,tomato,0.0
21,10.0,lulu,dress,0.0
33,10.0,elimu,basket,0.0
33,10.0,tumbili,basket,0.0
33,10.0,wasaa,time,0.0
33,400.0,godoro,tomato,0.0
33,10.0,roho,water,0.0
33,10.0,tabibu,basket,0.0
33,10.0,fagio,rain,0.0
33,10.0,joko,eye,0.0
33,10.0,malkia,?,0.0
33,400.0,iktisadi,?,0.0
33,400.0,dafina,water,0.0
33,400.0,nyanya,tomato,1.0
33,10.0,pipa,?,0.0
33,10.0,lulu,pant,0.0
33,400.0,rembo,basket,0.0
33,400.0,goti,?,0.0
33,400.0,yai,?,0.0
33,400.0,maiti,?,0.0
33,10.0,mbwa,?,0.0
33,10.0,sumu,beer,0.0
33,10.0,buu,water,0.0
33,400.0,ndoo,leg,0.0
33,10.0,pombe,beer,1.0
33,400.0,theluji,?,0.0
33,400.0,wingu,leg,0.0
33,400.0,kaa,?,0.0
33,400.0,zulia,flower,0.0
33,400.0,usingizi,river,0.0
27,10.0,iktisadi,couch,0.0
27,10.0,yai,egg,1.0
27,10.0,tabibu,cat,0.0
27,600.0,lulu,dog,0.0
27,10.0,malkia,milk,0.0
27,600.0,kaa,kiln,0.0
27,10.0,usingizi,kiln,0.0
27,10.0,elimu,desk,0.0
27,10.0,tumbili,plant,0.0
27,10.0,maiti,friend,0.0
27,10.0,roho,baby,0.0
27,600.0,joko,chair,0.0
27,600.0,sumu,food,0.0
27,600.0,zulia,girl,0.0
27,600.0,mbwa,snake,0.0
27,10.0,buu,dog,0.0
27,600.0,nyanya,child,0.0
27,10.0,goti,home,0.0
27,600.0,pipa,color,0.0
27,600.0,ndoo,body,0.0
27,600.0,rembo,green,0.0
27,10.0,fagio,flour,0.0
27,10.0,dafina,island,0.0
27,600.0,godoro,street,0.0
27,600.0,theluji,person,0.0
27,600.0,wingu,cloud,1.0
27,10.0,wasaa,hot,0.0
27,600.0,pombe,honey,0.0
24,600.0,theluji,snow,1.0
24,10.0,goti,dog,0.0
24,10.0,tumbili,basket,0.0
24,10.0,buu,dog,0.0
24,600.0,tabibu,doctor,1.0
24,10.0,rembo,cream,0.0
24,600.0,dafina,queen,0.0
24,600.0,malkia,mattress,0.0
24,10.0,maiti,woman,0.0
24,10.0,pombe,daughter,0.0
24,10.0,lulu,lemo,0.0
24,600.0,mbwa,baby,0.0
24,600.0,godoro,snow,0.0
24,10.0,elimu,science,1.0
24,10.0,wingu,happy,0.0
24,600.0,fagio,rice,0.0
24,10.0,nyanya,peas,0.0
24,600.0,iktisadi,basket,0.0
24,10.0,zulia,house,0.0
24,600.0,sumu,dog,0.0
24,10.0,ndoo,egg,0.0
24,10.0,wasaa,water,0.0
24,600.0,kaa,egg,0.0
24,600.0,usingizi,cry,0.0
24,600.0,joko,drink,0.0
24,10.0,roho,red,0.0
24,600.0,yai,egg,1.0
24,600.0,pipa,queen,0.0
20,600.0,yai,egg,1.0
20,600.0,wasaa,matter,0.0
20,600.0,wingu,cloud,1.0
20,10.0,iktisadi,economy,1.0
20,10.0,sumu,poison,1.0
20,10.0,dafina,define,0.0
20,10.0,tumbili,bucket,0.0
20,10.0,goti,knee,1.0
20,600.0,ndoo,doing,0.0
20,10.0,joko,kllin,0.0
20,600.0,nyanya,mango,0.0
20,10.0,godoro,sheets,0.0
20,600.0,rembo,jewellery,0.0
20,600.0,theluji,snow,1.0
20,10.0,kaa,dog,0.0
20,10.0,usingizi,sleep,1.0
20,600.0,fagio,fashion,0.0
20,10.0,mbwa,nothing,0.0
20,10.0,malkia,queen,1.0
20,10.0,pombe,beer,1.0
20,600.0,buu,flower,0.0
20,600.0,lulu,lucas,0.0
20,600.0,pipa,picture,0.0
20,600.0,roho,road,0.0
20,10.0,tabibu,doctor,1.0
20,600.0,zulia,julie,0.0
20,600.0,elimu,groups,0.0
20,10.0,maiti,leaves,0.0
47,10.0,joko,kiln,1.0
47,600.0,rembo,broom,0.0
47,10.0,buu,dog,0.0
47,600.0,usingizi,economy,0.0
47,600.0,theluji,snow,1.0
47,600.0,wingu,cloud,1.0
47,10.0,kaa,crab,1.0
47,10.0,godoro,mattress,1.0
47,600.0,nyanya,tomato,1.0
47,10.0,ndoo,bucket,1.0
47,10.0,pipa,barrel,1.0
47,600.0,mbwa,dog,1.0
47,600.0,wasaa,road,0.0
47,10.0,tumbili,doctor,0.0
47,600.0,maiti,corpse,1.0
47,10.0,iktisadi,economy,1.0
47,600.0,sumu,poison,1.0
47,10.0,roho,soul,1.0
47,10.0,zulia,carpet,1.0
47,600.0,malkia,queen,1.0
47,600.0,pombe,beer,1.0
47,10.0,lulu,pearl,1.0
47,600.0,fagio,broom,1.0
47,600.0,goti,knee,1.0
47,10.0,elimu,science,1.0
47,10.0,tabibu,doctor,1.0
47,10.0,dafina,treasure,1.0
47,600.0,yai,yes,0.0
54,200.0,nyanya,tomato,1.0
54,200.0,joko,kiln,1.0
54,10.0,iktisadi,snow,0.0
54,200.0,tumbili,monkey,1.0
54,200.0,pipa,barrel,1.0
54,200.0,tabibu,donkey,0.0
