p_id,presTime,stim1,response,correct
12,400.0,wasaa,elegant,0.0
12,400.0,ndoo,knee,0.0
12,600.0,roho,boat,0.0
12,400.0,usingizi,voice,0.0
12,10.0,godoro,mattress,1.0
12,400.0,theluji,hill,0.0
12,600.0,nyanya,tomato,1.0
12,600.0,elimu,eliminate,0.0
12,600.0,goti,goat,0.0
12,200.0,yai,egg,1.0
12,10.0,buu,you,0.0
12,400.0,mbwa,dog,1.0
12,200.0,sumu,poison,1.0
12,10.0,dafina,dessert,0.0
12,200.0,malkia,queen,1.0
12,10.0,wingu,wing,0.0
12,10.0,zulia,carpet,1.0
12,400.0,tabibu,doctor,1.0
12,600.0,pombe,beer,1.0
12,200.0,pipa,pipe,0.0
12,200.0,tumbili,monkey,1.0
12,600.0,iktisadi,person,0.0
12,400.0,lulu,girl,0.0
12,200.0,fagio,man,0.0
12,10.0,kaa,knee,0.0
12,600.0,rembo,remember,0.0
12,200.0,joko,laugh,0.0
12,10.0,maiti,death,0.0
42,600.0,maiti,steam,0.0
42,10.0,kaa,pearl,0.0
42,600.0,sumu,tomato,0.0
42,200.0,tumbili,monkey,1.0
42,400.0,yai,crab,0.0
42,600.0,fagio,broom,1.0
42,200.0,godoro,snow,0.0
42,200.0,pipa,beer,0.0
42,200.0,tabibu,donkey,0.0
42,200.0,buu,sou;,0.0
42,10.0,lulu,pearl,1.0
42,200.0,nyanya,tomato,1.0
42,600.0,rembo,ornament,1.0
42,400.0,ndoo,broom,0.0
42,400.0,goti,monkey,0.0
42,10.0,elimu,science,1.0
42,10.0,zulia,mattress,0.0
42,200.0,theluji,bucket,0.0
42,10.0,wasaa,broom,0.0
42,400.0,wingu,maggot,0.0
42,600.0,usingizi,doctor,0.0
42,400.0,malkia,queen,1.0
42,400.0,roho,red,0.0
42,10.0,dafina,dolphin,0.0
42,600.0,iktisadi,snow,0.0
42,400.0,pombe,bucket,0.0
42,10.0,joko,leisure,0.0
42,600.0,mbwa,dog,1.0
36,400.0,nyanya,tomato,1.0
36,400.0,ndoo,stool,0.0
36,600.0,kaa,crab,1.0
36,10.0,pipa,fish,0.0
36,200.0,elimu,science,1.0
36,10.0,goti,sleep,0.0
36,600.0,roho,soul,1.0
36,10.0,godoro,rock,0.0
36,400.0,tabibu,worm,0.0
36,400.0,joko,cat,0.0
36,600.0,yai,door,0.0
36,400.0,buu,cart,0.0
36,600.0,lulu,cloud,0.0
36,200.0,wasaa,experience,0.0
36,600.0,dafina,monkey,0.0
36,10.0,tumbili,economy,0.0
36,600.0,usingizi,monkey,0.0
36,200.0,malkia,milk,0.0
36,10.0,pombe,beer,1.0
36,200.0,rembo,elephant,0.0
36,200.0,iktisadi,sleep,0.0
36,200.0,mbwa,lamp,0.0
36,600.0,fagio,fire,0.0
36,10.0,maiti,person,0.0
36,10.0,zulia,monkey,0.0
36,400.0,sumu,bear,0.0
36,200.0,theluji,candle,0.0
36,400.0,wingu,cloud,1.0
18,400.0,pipa,barrel,1.0
18,400.0,wasaa,leisure,1.0
18,10.0,goti,knee,1.0
18,400.0,tabibu,doctor,1.0
18,600.0,iktisadi,economy,1.0
18,600.0,nyanya,tomato,1.0
18,10.0,rembo,ornament,1.0
18,400.0,tumbili,monkey,1.0
18,10.0,dafina,treasure,1.0
18,200.0,kaa,crab,1.0
18,200.0,godoro,mattress,1.0
18,600.0,roho,soul,1.0
18,10.0,theluji,snow,1.0
18,200.0,maiti,corpse,1.0
18,600.0,joko,meat,0.0
18,400.0,buu,maggot,1.0
18,600.0,yai,egg,1.0
18,10.0,lulu,chicken,0.0
18,10.0,wingu,cloud,1.0
18,200.0,ndoo,bucket,1.0
18,200.0,fagio,broom,1.0
18,200.0,sumu,bird,0.0
18,400.0,pombe,beer,1.0
18,600.0,mbwa,dog,1.0
18,600.0,usingizi,sleep,1.0
18,200.0,zulia,carpet,1.0
18,400.0,elimu,science,1.0
18,10.0,malkia,queen,1.0
37,600.0,maiti,corpse,1.0
37,200.0,elimu,I don't know,0.0
37,200.0,malkia,idk,0.0
37,400.0,iktisadi,economy,1.0
37,10.0,roho,idk,0.0
37,600.0,fagio,idk,0.0
37,600.0,dafina,idk,0.0
37,400.0,kaa,idk,0.0
37,200.0,usingizi,idk,0.0
37,600.0,theluji,idk,0.0
37,200.0,zulia,d,0.0
37,10.0,nyanya,tomato,1.0
37,10.0,goti,idk,0.0
37,10.0,tabibu,I don't know,0.0
37,600.0,wasaa,I don't know,0.0
37,600.0,sumu,I don't know,0.0
37,200.0,mbwa,maggot,0.0
37,10.0,buu,maggot,1.0
37,400.0,lulu,idk,0.0
37,200.0,pombe,beer,1.0
