p_id,presTime,stim1,response,correct
23,200.0,dafina,corspe,0.0
23,400.0,theluji,snow,1.0
23,400.0,mbwa,dog,1.0
23,600.0,kaa,crab,1.0
23,400.0,tabibu,doctor,1.0
23,600.0,sumu,carpet,0.0
23,600.0,iktisadi,economy,1.0
23,10.0,goti,knee,1.0
23,400.0,pipa,barrel,1.0
23,600.0,ndoo,carpet,0.0
23,600.0,joko,economy,0.0
23,10.0,lulu,sleep,0.0
23,400.0,wasaa,sleep,0.0
23,200.0,maiti,mattress,0.0
23,10.0,malkia,queen,1.0
23,10.0,fagio,cloud,0.0
23,200.0,yai,cloud,0.0
23,200.0,roho,cloud,0.0
23,200.0,wingu,cloud,1.0
23,400.0,godoro,queen,0.0
23,10.0,zulia,sleep,0.0
23,10.0,pombe,barrel,0.0
23,600.0,tumbili,pipe,0.0
23,600.0,rembo,mattress,0.0
23,400.0,buu,crab,0.0
23,200.0,usingizi,sleep,1.0
23,10.0,elimu,science,1.0
23,200.0,nyanya,monkey,0.0
43,10.0,tabibu,table,0.0
43,600.0,roho,soul,1.0
43,10.0,kaa,laugh,0.0
43,400.0,wasaa,kitchen,0.0
43,400.0,wingu,wig,0.0
43,400.0,rembo,clean,0.0
43,200.0,pipa,short,0.0
43,400.0,buu,sick,0.0
43,200.0,tumbili,early,0.0
43,200.0,yai,egg,1.0
43,200.0,iktisadi,economy,1.0
43,10.0,pombe,hair,0.0
43,600.0,zulia,fly,0.0
43,200.0,ndoo,shower,0.0
43,400.0,lulu,pearl,1.0
43,400.0,fagio,carpet,0.0
43,10.0,joko,kiln,1.0
43,600.0,goti,taste,0.0
43,10.0,mbwa,dog,1.0
43,200.0,malkia,talk,0.0
43,600.0,godoro,carpet,0.0
43,600.0,dafina,tired,0.0
43,600.0,theluji,water,0.0
43,10.0,usingizi,sleeping,0.0
43,200.0,nyanya,banana,0.0
43,400.0,sumu,wrestle,0.0
43,600.0,elimu,shoot,0.0
43,10.0,maiti,cozy,0.0
29,400.0,fagio,broom,1.0
